[-t, /Users/jiangjunhao/Desktop/MLC-master/code/temp/BayesianClassifierChain_ESKDB/tmc2007/train.arff, -T, /Users/jiangjunhao/Desktop/MLC-master/code/temp/BayesianClassifierChain_ESKDB/tmc2007/test.arff, -K, 2, -S, SKDB_R, -I, 10, -L, 2, -E, 2]
Dataset : train
data size 	14305
Attribute size 	1503
class size 	2

Started learning
The 0th SKDB classifier has been built and smoothed
The 1th SKDB classifier has been built and smoothed

Started testing
testID:	Prob(0)	Prob(1)	Prediction	TrueClass
test example 1335:	 0.973	 0.027	0	0
test example 1336:	 0.993	 0.007	0	0
test example 1337:	 0.63 	 0.37 	0	0
test example 1338:	 0.962	 0.038	0	0
test example 1339:	 0.112	 0.888	1	0
test example 1340:	 0.998	 0.002	0	0
test example 1341:	 0.987	 0.013	0	0
test example 1342:	 0.663	 0.337	0	0
test example 1343:	 0.991	 0.009	0	0
test example 1344:	 0.581	 0.419	0	0
test example 1345:	 1    	 0    	0	0
test example 1346:	 0.988	 0.012	0	0
test example 1347:	 0.993	 0.007	0	0
test example 1348:	 0.993	 0.007	0	0
test example 1349:	 0.995	 0.005	0	0
test example 1350:	 0.982	 0.018	0	0
test example 1351:	 0.985	 0.015	0	0
test example 1352:	 0.957	 0.043	0	0
test example 1353:	 0.983	 0.017	0	0
test example 1354:	 0.974	 0.026	0	0
test example 1355:	 0.345	 0.655	1	1
test example 1356:	 0.994	 0.006	0	0
test example 1357:	 0.977	 0.023	0	0
test example 1358:	 0.99 	 0.01 	0	0
test example 1359:	 0.994	 0.006	0	0
test example 1360:	 0.977	 0.023	0	1
test example 1361:	 0.99 	 0.01 	0	0
test example 1362:	 0.987	 0.013	0	0
test example 1363:	 0.989	 0.011	0	0
test example 1364:	 0.993	 0.007	0	0
test example 1365:	 0.996	 0.004	0	0
test example 1366:	 0.998	 0.002	0	0
test example 1367:	 0.917	 0.083	0	0
test example 1368:	 0.993	 0.007	0	0
test example 1369:	 0.792	 0.208	0	0
test example 1370:	 0.984	 0.016	0	0
test example 1371:	 0.86 	 0.14 	0	0
test example 1372:	 0.683	 0.317	0	0
test example 1373:	 0.982	 0.018	0	0
test example 1374:	 0.985	 0.015	0	0
test example 1375:	 0.344	 0.656	1	1
test example 1376:	 0.852	 0.148	0	0
test example 1377:	 0.954	 0.046	0	1
test example 1378:	 0.989	 0.011	0	0
test example 1379:	 0.937	 0.063	0	0
test example 1380:	 0.97 	 0.03 	0	0
test example 1381:	 0.991	 0.009	0	0
test example 1382:	 0.991	 0.009	0	0
test example 1383:	 0.984	 0.016	0	0
test example 1384:	 0.985	 0.015	0	0
test example 1385:	 0.995	 0.005	0	0
test example 1386:	 0.898	 0.102	0	0
test example 1387:	 0.985	 0.015	0	0
test example 1388:	 0.987	 0.013	0	0
test example 1389:	 0.829	 0.171	0	0
test example 1390:	 0.648	 0.352	0	0
test example 1391:	 0.97 	 0.03 	0	0
test example 1392:	 1    	 0    	0	0
test example 1393:	 0.867	 0.133	0	0
test example 1394:	 0.993	 0.007	0	0
test example 1395:	 0.971	 0.029	0	1
test example 1396:	 0.995	 0.005	0	0
test example 1397:	 0.989	 0.011	0	0
test example 1398:	 0.856	 0.144	0	0
test example 1399:	 0.81 	 0.19 	0	0
test example 1400:	 0.992	 0.008	0	1
test example 1401:	 0.991	 0.009	0	0
test example 1402:	 0.993	 0.007	0	0
test example 1403:	 0.993	 0.007	0	0
test example 1404:	 0.688	 0.312	0	0
test example 1405:	 0.994	 0.006	0	0
test example 1406:	 0.995	 0.005	0	0
test example 1407:	 0.955	 0.045	0	0
test example 1408:	 0.997	 0.003	0	0
test example 1409:	 0.995	 0.005	0	0
test example 1410:	 0.979	 0.021	0	0
test example 1411:	 0.992	 0.008	0	0
test example 1412:	 0.997	 0.003	0	0
test example 1413:	 0.894	 0.106	0	0
test example 1414:	 0.983	 0.017	0	0
test example 1415:	 0.996	 0.004	0	0
test example 1416:	 0.985	 0.015	0	0
test example 1417:	 0.998	 0.002	0	0
test example 1418:	 0.979	 0.021	0	0
test example 1419:	 0.657	 0.343	0	0
test example 1420:	 0.896	 0.104	0	0
test example 1421:	 0.995	 0.005	0	0
test example 1422:	 0.998	 0.002	0	0
test example 1423:	 0.991	 0.009	0	0
test example 1424:	 0.984	 0.016	0	0
test example 1425:	 0.993	 0.007	0	0
test example 1426:	 0.916	 0.084	0	0
test example 1427:	 0.974	 0.026	0	0
test example 1428:	 0.904	 0.096	0	0
test example 1429:	 0.531	 0.469	0	0
test example 1430:	 0.888	 0.112	0	0
test example 1431:	 0.989	 0.011	0	0
test example 1432:	 0.968	 0.032	0	0
test example 1433:	 0.996	 0.004	0	0
test example 1434:	 0.993	 0.007	0	0
test example 1435:	 0.994	 0.006	0	0
test example 1436:	 0.993	 0.007	0	0
test example 1437:	 0.964	 0.036	0	0
test example 1438:	 0.976	 0.024	0	0
test example 1439:	 0.265	 0.735	1	0
test example 1440:	 0.351	 0.649	1	1
test example 1441:	 0.786	 0.214	0	0
test example 1442:	 0.965	 0.035	0	0
test example 1443:	 0.994	 0.006	0	0
test example 1444:	 0.993	 0.007	0	0
test example 1445:	 0.996	 0.004	0	0
test example 1446:	 0.948	 0.052	0	0
test example 1447:	 0.998	 0.002	0	0
test example 1448:	 0.997	 0.003	0	0
test example 1449:	 0.987	 0.013	0	0
test example 1450:	 0.956	 0.044	0	0
test example 1451:	 0.994	 0.006	0	0
test example 1452:	 0.998	 0.002	0	0
test example 1453:	 0.985	 0.015	0	0
test example 1454:	 0.994	 0.006	0	0
test example 1455:	 0.991	 0.009	0	0
test example 1456:	 0.98 	 0.02 	0	0
test example 1457:	 0.906	 0.094	0	0
test example 1458:	 0.939	 0.061	0	0
test example 1459:	 0.993	 0.007	0	0
test example 1460:	 0.991	 0.009	0	0
test example 1461:	 0.993	 0.007	0	0
test example 1462:	 0.993	 0.007	0	0
test example 1463:	 0.997	 0.003	0	0
test example 1464:	 0.998	 0.002	0	0
test example 1465:	 0.977	 0.023	0	0
test example 1466:	 0.999	 0.001	0	0
test example 1467:	 0.99 	 0.01 	0	0
test example 1468:	 0.99 	 0.01 	0	0
test example 1469:	 0.981	 0.019	0	0
test example 1470:	 0.993	 0.007	0	0
test example 1471:	 0.99 	 0.01 	0	0
test example 1472:	 0.988	 0.012	0	0
test example 1473:	 0.976	 0.024	0	0
test example 1474:	 0.938	 0.062	0	0
test example 1475:	 0.996	 0.004	0	0
test example 1476:	 0.968	 0.032	0	0
test example 1477:	 0.995	 0.005	0	0
test example 1478:	 0.993	 0.007	0	0
test example 1479:	 0.992	 0.008	0	0
test example 1480:	 0.999	 0.001	0	0
test example 1481:	 0.99 	 0.01 	0	0
test example 1482:	 0.999	 0.001	0	0
test example 1483:	 0.997	 0.003	0	0
test example 1484:	 0.994	 0.006	0	0
test example 1485:	 0.984	 0.016	0	0
test example 1486:	 0.996	 0.004	0	0
test example 1487:	 0.984	 0.016	0	0
test example 1488:	 0.99 	 0.01 	0	0
test example 1489:	 0.997	 0.003	0	0
test example 1490:	 0.647	 0.353	0	0
test example 1491:	 0.996	 0.004	0	0
test example 1492:	 0.993	 0.007	0	0
test example 1493:	 0.99 	 0.01 	0	0
test example 1494:	 0.989	 0.011	0	0
test example 1495:	 0.986	 0.014	0	0
test example 1496:	 0.986	 0.014	0	0
test example 1497:	 0.995	 0.005	0	0
test example 1498:	 0.956	 0.044	0	0
test example 1499:	 0.997	 0.003	0	0
test example 1500:	 0.997	 0.003	0	0
test example 1501:	 0.096	 0.904	1	0
test example 1502:	 0.993	 0.007	0	0
test example 1503:	 0.985	 0.015	0	0
test example 1504:	 0.329	 0.671	1	0
test example 1505:	 0.989	 0.011	0	0
test example 1506:	 0.947	 0.053	0	0
test example 1507:	 0.992	 0.008	0	0
test example 1508:	 0.991	 0.009	0	0
test example 1509:	 0.956	 0.044	0	0
test example 1510:	 0.993	 0.007	0	0
test example 1511:	 0.996	 0.004	0	0
test example 1512:	 0.956	 0.044	0	0
test example 1513:	 0.98 	 0.02 	0	0
test example 1514:	 0.019	 0.981	1	1
test example 1515:	 0.901	 0.099	0	0
test example 1516:	 0.948	 0.052	0	0
test example 1517:	 0.982	 0.018	0	0
test example 1518:	 0.984	 0.016	0	0
test example 1519:	 0.987	 0.013	0	0
test example 1520:	 0.949	 0.051	0	0
test example 1521:	 0.979	 0.021	0	0
test example 1522:	 0.982	 0.018	0	0
test example 1523:	 0.637	 0.363	0	0
test example 1524:	 0.993	 0.007	0	0
test example 1525:	 0.988	 0.012	0	0
test example 1526:	 0.658	 0.342	0	0
test example 1527:	 0.993	 0.007	0	0
test example 1528:	 0.983	 0.017	0	0
test example 1529:	 0.908	 0.092	0	0
test example 1530:	 0.269	 0.731	1	1
test example 1531:	 0.757	 0.243	0	0
test example 1532:	 0.993	 0.007	0	1
test example 1533:	 0.924	 0.076	0	0
test example 1534:	 0.998	 0.002	0	0
test example 1535:	 0.996	 0.004	0	0
test example 1536:	 0.981	 0.019	0	0
test example 1537:	 0.182	 0.818	1	0
test example 1538:	 0.78 	 0.22 	0	0
test example 1539:	 0.993	 0.007	0	0
test example 1540:	 0.925	 0.075	0	0
test example 1541:	 0.922	 0.078	0	0
test example 1542:	 0.991	 0.009	0	0
test example 1543:	 0.995	 0.005	0	0
test example 1544:	 0.991	 0.009	0	0
test example 1545:	 0.993	 0.007	0	0
test example 1546:	 0.995	 0.005	0	0
test example 1547:	 0.99 	 0.01 	0	0
test example 1548:	 0.995	 0.005	0	0
test example 1549:	 0.954	 0.046	0	1
test example 1550:	 0.941	 0.059	0	0
test example 1551:	 0.999	 0.001	0	0
test example 1552:	 0.983	 0.017	0	0
test example 1553:	 0.975	 0.025	0	0
test example 1554:	 0.997	 0.003	0	0
test example 1555:	 0.965	 0.035	0	0
test example 1556:	 0.963	 0.037	0	0
test example 1557:	 0.984	 0.016	0	0
test example 1558:	 0.995	 0.005	0	0
test example 1559:	 0.872	 0.128	0	1
test example 1560:	 0.941	 0.059	0	0
test example 1561:	 0.968	 0.032	0	0
test example 1562:	 0.992	 0.008	0	0
test example 1563:	 0.984	 0.016	0	0
test example 1564:	 0.995	 0.005	0	0
test example 1565:	 0.231	 0.769	1	1
test example 1566:	 0.986	 0.014	0	0
test example 1567:	 0.413	 0.587	1	1
test example 1568:	 0.935	 0.065	0	0
test example 1569:	 0.96 	 0.04 	0	0
test example 1570:	 0.518	 0.482	0	0
test example 1571:	 0.989	 0.011	0	0
test example 1572:	 0.481	 0.519	1	1
test example 1573:	 0.997	 0.003	0	0
test example 1574:	 0.976	 0.024	0	0
test example 1575:	 0.994	 0.006	0	0
test example 1576:	 0.981	 0.019	0	0
test example 1577:	 0.905	 0.095	0	0
test example 1578:	 0.997	 0.003	0	0
test example 1579:	 0.983	 0.017	0	0
test example 1580:	 0.985	 0.015	0	0
test example 1581:	 0.758	 0.242	0	0
test example 1582:	 0.977	 0.023	0	0
test example 1583:	 0.993	 0.007	0	0
test example 1584:	 0.987	 0.013	0	0
test example 1585:	 0.891	 0.109	0	0
test example 1586:	 0.949	 0.051	0	0
test example 1587:	 0.985	 0.015	0	0
test example 1588:	 0.623	 0.377	0	0
test example 1589:	 0.969	 0.031	0	0
test example 1590:	 0.939	 0.061	0	0
test example 1591:	 0.861	 0.139	0	0
test example 1592:	 0.994	 0.006	0	0
test example 1593:	 0.989	 0.011	0	0
test example 1594:	 0.565	 0.435	0	0
test example 1595:	 0.991	 0.009	0	0
test example 1596:	 0.995	 0.005	0	0
test example 1597:	 0.998	 0.002	0	0
test example 1598:	 0.966	 0.034	0	0
test example 1599:	 0.989	 0.011	0	0
test example 1600:	 0.992	 0.008	0	0
test example 1601:	 0.993	 0.007	0	0
test example 1602:	 0.803	 0.197	0	0
test example 1603:	 0.986	 0.014	0	0
test example 1604:	 0.997	 0.003	0	0
test example 1605:	 0.996	 0.004	0	0
test example 1606:	 0.99 	 0.01 	0	0
test example 1607:	 0.819	 0.181	0	0
test example 1608:	 0.995	 0.005	0	0
test example 1609:	 0.964	 0.036	0	0
test example 1610:	 0.947	 0.053	0	0
test example 1611:	 0.841	 0.159	0	0
test example 1612:	 0.997	 0.003	0	0
test example 1613:	 0.984	 0.016	0	0
test example 1614:	 1    	 0    	0	0
test example 1615:	 0.305	 0.695	1	0
test example 1616:	 0.991	 0.009	0	0
test example 1617:	 0.911	 0.089	0	0
test example 1618:	 0.96 	 0.04 	0	0
test example 1619:	 0.986	 0.014	0	0
test example 1620:	 0.999	 0.001	0	0
test example 1621:	 0.788	 0.212	0	0
test example 1622:	 0.915	 0.085	0	0
test example 1623:	 0.71 	 0.29 	0	1
test example 1624:	 0.599	 0.401	0	0
test example 1625:	 0.989	 0.011	0	0
test example 1626:	 0.993	 0.007	0	0
test example 1627:	 0.994	 0.006	0	1
test example 1628:	 0.986	 0.014	0	0
test example 1629:	 0.995	 0.005	0	0
test example 1630:	 0.997	 0.003	0	0
test example 1631:	 0.953	 0.047	0	0
test example 1632:	 0.862	 0.138	0	0
test example 1633:	 0.687	 0.313	0	1
test example 1634:	 0.995	 0.005	0	0
test example 1635:	 0.997	 0.003	0	0
test example 1636:	 0.996	 0.004	0	0
test example 1637:	 0.983	 0.017	0	0
test example 1638:	 0.94 	 0.06 	0	0
test example 1639:	 0.975	 0.025	0	0
test example 1640:	 0.965	 0.035	0	0
test example 1641:	 0.309	 0.691	1	0
test example 1642:	 0.993	 0.007	0	0
test example 1643:	 0.882	 0.118	0	0
test example 1644:	 0.99 	 0.01 	0	1
test example 1645:	 0.953	 0.047	0	0
test example 1646:	 0.99 	 0.01 	0	0
test example 1647:	 0.993	 0.007	0	0
test example 1648:	 0.18 	 0.82 	1	1
test example 1649:	 0.843	 0.157	0	0
test example 1650:	 0.975	 0.025	0	0
test example 1651:	 0.989	 0.011	0	0
test example 1652:	 0.487	 0.513	1	1
test example 1653:	 0.998	 0.002	0	0
test example 1654:	 0.986	 0.014	0	0
test example 1655:	 0.968	 0.032	0	0
test example 1656:	 0.998	 0.002	0	0
test example 1657:	 0.96 	 0.04 	0	0
test example 1658:	 0.944	 0.056	0	0
test example 1659:	 0.986	 0.014	0	0
test example 1660:	 0.989	 0.011	0	0
test example 1661:	 1    	 0    	0	0
test example 1662:	 0.981	 0.019	0	0
test example 1663:	 0.998	 0.002	0	0
test example 1664:	 0.991	 0.009	0	0
test example 1665:	 0.982	 0.018	0	0
test example 1666:	 0.882	 0.118	0	0
test example 1667:	 0.938	 0.062	0	0
test example 1668:	 0.897	 0.103	0	0
test example 1669:	 0.997	 0.003	0	0
test example 1670:	 0.995	 0.005	0	0
test example 1671:	 0.993	 0.007	0	0
test example 1672:	 0.999	 0.001	0	0
test example 1673:	 0.989	 0.011	0	0
test example 1674:	 0.987	 0.013	0	0
test example 1675:	 0.983	 0.017	0	0
test example 1676:	 0.995	 0.005	0	0
test example 1677:	 0.982	 0.018	0	0
test example 1678:	 0.843	 0.157	0	0
test example 1679:	 0.874	 0.126	0	0
test example 1680:	 0.556	 0.444	0	0
test example 1681:	 0.978	 0.022	0	0
test example 1682:	 0.939	 0.061	0	0
test example 1683:	 0.855	 0.145	0	1
test example 1684:	 0.991	 0.009	0	0
test example 1685:	 0.873	 0.127	0	0
test example 1686:	 0.982	 0.018	0	0
test example 1687:	 0.317	 0.683	1	1
test example 1688:	 0.774	 0.226	0	0
test example 1689:	 0.988	 0.012	0	0
test example 1690:	 0.991	 0.009	0	0
test example 1691:	 0.892	 0.108	0	0
test example 1692:	 0.248	 0.752	1	1
test example 1693:	 0.996	 0.004	0	0
test example 1694:	 0.816	 0.184	0	0
test example 1695:	 0.996	 0.004	0	0
test example 1696:	 0.873	 0.127	0	0
test example 1697:	 0.908	 0.092	0	0
test example 1698:	 0.984	 0.016	0	0
test example 1699:	 0.863	 0.137	0	0
test example 1700:	 0.965	 0.035	0	0
test example 1701:	 0.172	 0.828	1	1
test example 1702:	 0.994	 0.006	0	0
test example 1703:	 0.749	 0.251	0	0
test example 1704:	 0.97 	 0.03 	0	0
test example 1705:	 0.842	 0.158	0	1
test example 1706:	 0.993	 0.007	0	0
test example 1707:	 0.994	 0.006	0	0
test example 1708:	 0.993	 0.007	0	0
test example 1709:	 0.826	 0.174	0	0
test example 1710:	 0.998	 0.002	0	0
test example 1711:	 0.97 	 0.03 	0	0
test example 1712:	 0.188	 0.812	1	1
test example 1713:	 0.988	 0.012	0	0
test example 1714:	 0.999	 0.001	0	0
test example 1715:	 0.92 	 0.08 	0	0
test example 1716:	 0.964	 0.036	0	0
test example 1717:	 0.985	 0.015	0	0
test example 1718:	 0.785	 0.215	0	0
test example 1719:	 0.991	 0.009	0	0
test example 1720:	 0.998	 0.002	0	0
test example 1721:	 0.993	 0.007	0	0
test example 1722:	 0.798	 0.202	0	0
test example 1723:	 0.827	 0.173	0	0
test example 1724:	 0.322	 0.678	1	1
test example 1725:	 0.989	 0.011	0	0
test example 1726:	 0.984	 0.016	0	0
test example 1727:	 0.972	 0.028	0	0
test example 1728:	 0.262	 0.738	1	0
test example 1729:	 0.994	 0.006	0	0
test example 1730:	 0.994	 0.006	0	0
test example 1731:	 0.993	 0.007	0	0
test example 1732:	 0.565	 0.435	0	1
test example 1733:	 0.062	 0.938	1	1
test example 1734:	 0.993	 0.007	0	0
test example 1735:	 0.93 	 0.07 	0	0
test example 1736:	 0.981	 0.019	0	0
test example 1737:	 0.115	 0.885	1	0
test example 1738:	 0.997	 0.003	0	0
test example 1739:	 0.745	 0.255	0	1
test example 1740:	 0.998	 0.002	0	0
test example 1741:	 0.993	 0.007	0	0
test example 1742:	 0.917	 0.083	0	0
test example 1743:	 0.978	 0.022	0	0
test example 1744:	 0.991	 0.009	0	0
test example 1745:	 0.909	 0.091	0	0
test example 1746:	 0.839	 0.161	0	0
test example 1747:	 0.997	 0.003	0	0
test example 1748:	 0.978	 0.022	0	0
test example 1749:	 0.993	 0.007	0	0
test example 1750:	 0.991	 0.009	0	1
test example 1751:	 0.903	 0.097	0	0
test example 1752:	 0.97 	 0.03 	0	0
test example 1753:	 0.807	 0.193	0	0
test example 1754:	 0.991	 0.009	0	0
test example 1755:	 0.991	 0.009	0	0
test example 1756:	 0.475	 0.525	1	0
test example 1757:	 0.378	 0.622	1	1
test example 1758:	 0.924	 0.076	0	0
test example 1759:	 0.908	 0.092	0	0
test example 1760:	 0.984	 0.016	0	0
test example 1761:	 0.937	 0.063	0	0
test example 1762:	 0.99 	 0.01 	0	0
test example 1763:	 0.228	 0.772	1	1
test example 1764:	 0.554	 0.446	0	1
test example 1765:	 0.998	 0.002	0	0
test example 1766:	 0.966	 0.034	0	0
test example 1767:	 0.992	 0.008	0	0
test example 1768:	 0.996	 0.004	0	0
test example 1769:	 0.76 	 0.24 	0	0
test example 1770:	 0.69 	 0.31 	0	1
test example 1771:	 0.987	 0.013	0	0
test example 1772:	 0.076	 0.924	1	1
test example 1773:	 0.995	 0.005	0	0
test example 1774:	 0.994	 0.006	0	0
test example 1775:	 0.999	 0.001	0	0
test example 1776:	 0.942	 0.058	0	0
test example 1777:	 0.995	 0.005	0	0
test example 1778:	 0.989	 0.011	0	0
test example 1779:	 0.924	 0.076	0	0
test example 1780:	 0.995	 0.005	0	0
test example 1781:	 0.992	 0.008	0	0
test example 1782:	 0.91 	 0.09 	0	0
test example 1783:	 0.205	 0.795	1	1
test example 1784:	 0.907	 0.093	0	0
test example 1785:	 0.996	 0.004	0	0
test example 1786:	 0.997	 0.003	0	0
test example 1787:	 0.867	 0.133	0	0
test example 1788:	 0.836	 0.164	0	0
test example 1789:	 0.996	 0.004	0	0
test example 1790:	 0.752	 0.248	0	0
test example 1791:	 0.993	 0.007	0	0
test example 1792:	 0.998	 0.002	0	0
test example 1793:	 0.107	 0.893	1	0
test example 1794:	 0.989	 0.011	0	0
test example 1795:	 0.928	 0.072	0	0
test example 1796:	 0.636	 0.364	0	0
test example 1797:	 0.996	 0.004	0	0
test example 1798:	 0.997	 0.003	0	0
test example 1799:	 0.99 	 0.01 	0	0
test example 1800:	 0.991	 0.009	0	0
test example 1801:	 0.988	 0.012	0	0
test example 1802:	 0.368	 0.632	1	0
test example 1803:	 0.996	 0.004	0	0
test example 1804:	 0.998	 0.002	0	0
test example 1805:	 0.767	 0.233	0	0
test example 1806:	 0.993	 0.007	0	0
test example 1807:	 0.999	 0.001	0	0
test example 1808:	 0.984	 0.016	0	0
test example 1809:	 0.675	 0.325	0	0
test example 1810:	 0.982	 0.018	0	0
test example 1811:	 0.992	 0.008	0	0
test example 1812:	 0.997	 0.003	0	0
test example 1813:	 0.428	 0.572	1	1
test example 1814:	 0.991	 0.009	0	0
test example 1815:	 0.871	 0.129	0	0
test example 1816:	 0.978	 0.022	0	0
test example 1817:	 0.982	 0.018	0	0
test example 1818:	 0.649	 0.351	0	1
test example 1819:	 0.997	 0.003	0	0
test example 1820:	 0.997	 0.003	0	0
test example 1821:	 0.989	 0.011	0	0
test example 1822:	 0.815	 0.185	0	0
test example 1823:	 0.537	 0.463	0	1
test example 1824:	 0.492	 0.508	1	0
test example 1825:	 0.996	 0.004	0	0
test example 1826:	 0.993	 0.007	0	0
test example 1827:	 0.98 	 0.02 	0	0
test example 1828:	 0.968	 0.032	0	0
test example 1829:	 0.747	 0.253	0	0
test example 1830:	 0.987	 0.013	0	0
test example 1831:	 0.157	 0.843	1	1
test example 1832:	 0.999	 0.001	0	0
test example 1833:	 0.994	 0.006	0	0
test example 1834:	 0.995	 0.005	0	0
test example 1835:	 0.993	 0.007	0	0
test example 1836:	 0.954	 0.046	0	0
test example 1837:	 0.996	 0.004	0	0
test example 1838:	 0.986	 0.014	0	0
test example 1839:	 0.851	 0.149	0	0
test example 1840:	 0.994	 0.006	0	0
test example 1841:	 0.993	 0.007	0	0
test example 1842:	 0.681	 0.319	0	1
test example 1843:	 0.958	 0.042	0	0
test example 1844:	 0.149	 0.851	1	0
test example 1845:	 0.996	 0.004	0	0
test example 1846:	 0.102	 0.898	1	1
test example 1847:	 0.827	 0.173	0	0
test example 1848:	 0.919	 0.081	0	0
test example 1849:	 0.98 	 0.02 	0	0
test example 1850:	 0.51 	 0.49 	0	1
test example 1851:	 0.99 	 0.01 	0	0
test example 1852:	 0.996	 0.004	0	0
test example 1853:	 0.965	 0.035	0	0
test example 1854:	 0.981	 0.019	0	0
test example 1855:	 0.984	 0.016	0	0
test example 1856:	 0.992	 0.008	0	0
test example 1857:	 0.999	 0.001	0	0
test example 1858:	 0.455	 0.545	1	0
test example 1859:	 0.95 	 0.05 	0	0
test example 1860:	 0.212	 0.788	1	0
test example 1861:	 0.621	 0.379	0	1
test example 1862:	 0.963	 0.037	0	0
test example 1863:	 0.641	 0.359	0	1
test example 1864:	 0.006	 0.994	1	1
test example 1865:	 0.857	 0.143	0	0
test example 1866:	 0.994	 0.006	0	0
test example 1867:	 0.985	 0.015	0	0
test example 1868:	 0.947	 0.053	0	0
test example 1869:	 0.85 	 0.15 	0	1
test example 1870:	 0.871	 0.129	0	0
test example 1871:	 0.994	 0.006	0	0
test example 1872:	 0.991	 0.009	0	0
test example 1873:	 0.996	 0.004	0	0
test example 1874:	 0.061	 0.939	1	0
test example 1875:	 0.175	 0.825	1	1
test example 1876:	 0.978	 0.022	0	0
test example 1877:	 0.996	 0.004	0	0
test example 1878:	 0.932	 0.068	0	0
test example 1879:	 0.996	 0.004	0	0
test example 1880:	 0.993	 0.007	0	0
test example 1881:	 0.2  	 0.8  	1	0
test example 1882:	 0.816	 0.184	0	1
test example 1883:	 0.984	 0.016	0	0
test example 1884:	 0.993	 0.007	0	0
test example 1885:	 0.98 	 0.02 	0	0
test example 1886:	 0.988	 0.012	0	0
test example 1887:	 0.992	 0.008	0	0
test example 1888:	 0.991	 0.009	0	0
test example 1889:	 0.988	 0.012	0	0
test example 1890:	 0.86 	 0.14 	0	0
test example 1891:	 0.986	 0.014	0	0
test example 1892:	 0.998	 0.002	0	0
test example 1893:	 0.748	 0.252	0	0
test example 1894:	 0.992	 0.008	0	0
test example 1895:	 0.997	 0.003	0	0
test example 1896:	 0.871	 0.129	0	0
test example 1897:	 0.982	 0.018	0	0
test example 1898:	 0.971	 0.029	0	0
test example 1899:	 0.999	 0.001	0	0
test example 1900:	 0.99 	 0.01 	0	0
test example 1901:	 0.188	 0.812	1	1
test example 1902:	 0.331	 0.669	1	0
test example 1903:	 0.914	 0.086	0	0
test example 1904:	 0.996	 0.004	0	0
test example 1905:	 0.981	 0.019	0	0
test example 1906:	 0.998	 0.002	0	0
test example 1907:	 0.992	 0.008	0	0
test example 1908:	 0.907	 0.093	0	0
test example 1909:	 0.871	 0.129	0	1
test example 1910:	 0.983	 0.017	0	0
test example 1911:	 0.995	 0.005	0	0
test example 1912:	 0.994	 0.006	0	0
test example 1913:	 0.436	 0.564	1	0
test example 1914:	 0.93 	 0.07 	0	0
test example 1915:	 0.987	 0.013	0	0
test example 1916:	 0.987	 0.013	0	0
test example 1917:	 0.113	 0.887	1	1
test example 1918:	 0.984	 0.016	0	0
test example 1919:	 0.948	 0.052	0	1
test example 1920:	 0.996	 0.004	0	0
test example 1921:	 0.968	 0.032	0	1
test example 1922:	 0.201	 0.799	1	0
test example 1923:	 0.89 	 0.11 	0	0
test example 1924:	 0.989	 0.011	0	0
test example 1925:	 0.994	 0.006	0	0
test example 1926:	 0.768	 0.232	0	0
test example 1927:	 0.996	 0.004	0	0
test example 1928:	 0.863	 0.137	0	0
test example 1929:	 0.994	 0.006	0	0
test example 1930:	 0.998	 0.002	0	0
test example 1931:	 0.991	 0.009	0	0
test example 1932:	 0.558	 0.442	0	1
test example 1933:	 0.964	 0.036	0	0
test example 1934:	 0.997	 0.003	0	0
test example 1935:	 0.995	 0.005	0	0
test example 1936:	 0.821	 0.179	0	0
test example 1937:	 0.983	 0.017	0	0
test example 1938:	 0.983	 0.017	0	0
test example 1939:	 0.997	 0.003	0	0
test example 1940:	 0.838	 0.162	0	0
test example 1941:	 0.178	 0.822	1	0
test example 1942:	 0.672	 0.328	0	0
test example 1943:	 0.98 	 0.02 	0	0
test example 1944:	 0.997	 0.003	0	0
test example 1945:	 0.993	 0.007	0	0
test example 1946:	 0.998	 0.002	0	0
test example 1947:	 0.993	 0.007	0	0
test example 1948:	 0.993	 0.007	0	0
test example 1949:	 0.991	 0.009	0	0
test example 1950:	 0.999	 0.001	0	0
test example 1951:	 0.989	 0.011	0	0
test example 1952:	 0.994	 0.006	0	0
test example 1953:	 0.981	 0.019	0	0
test example 1954:	 0.993	 0.007	0	0
test example 1955:	 0.985	 0.015	0	0
test example 1956:	 0.991	 0.009	0	0
test example 1957:	 0.875	 0.125	0	0
test example 1958:	 0.873	 0.127	0	0
test example 1959:	 0.989	 0.011	0	0
test example 1960:	 0.31 	 0.69 	1	1
test example 1961:	 0.725	 0.275	0	1
test example 1962:	 0.849	 0.151	0	1
test example 1963:	 0.978	 0.022	0	0
test example 1964:	 0.998	 0.002	0	0
test example 1965:	 0.989	 0.011	0	0
test example 1966:	 0.995	 0.005	0	0
test example 1967:	 0.226	 0.774	1	0
test example 1968:	 0.991	 0.009	0	0
test example 1969:	 0.991	 0.009	0	0
test example 1970:	 0.992	 0.008	0	0
test example 1971:	 0.998	 0.002	0	0
test example 1972:	 0.975	 0.025	0	0
test example 1973:	 0.986	 0.014	0	0
test example 1974:	 0.659	 0.341	0	0
test example 1975:	 0.998	 0.002	0	0
test example 1976:	 0.986	 0.014	0	0
test example 1977:	 0.978	 0.022	0	0
test example 1978:	 0.978	 0.022	0	0
test example 1979:	 0.974	 0.026	0	0
test example 1980:	 0.93 	 0.07 	0	0
test example 1981:	 0.984	 0.016	0	0
test example 1982:	 0.479	 0.521	1	0
test example 1983:	 0.994	 0.006	0	0
